step,tx_cost,fulfill
1,109.075554,0.0
2,215.29056,0.0
3,317.031,0.0
4,413.2054,0.0
5,504.93286,0.0
6,599.3474,0.0
7,698.2117,0.0
8,793.787,0.0
9,896.95276,0.0
10,1001.11487,0.0
11,1111.2648,0.0
12,1217.4716,0.0875
13,1310.2144,0.1
14,1399.6134,0.1
15,1485.6333,0.1
16,1566.6333,0.1
17,1643.6333,0.1
18,1720.6333,0.1
19,1795.9542,0.1
20,1879.0306,0.1
21,1954.0306,0.1
22,2025.0306,0.1
23,2100.0308,0.1
24,2177.0308,0.1
25,2259.0308,0.1
26,2351.0308,0.1
27,2443.0308,0.1
28,2547.0308,0.1
29,2654.0308,0.1
30,2760.0308,0.1
31,2870.0308,0.1
32,2978.0308,0.1125
33,3086.0308,0.125
34,3193.0308,0.13125
35,3298.0308,0.13125
36,3402.0308,0.14375
37,3514.0308,0.18125
38,3629.0308,0.19375
39,3736.0308,0.19375
40,3833.0308,0.2
41,3923.0308,0.2
42,4013.2175,0.2125
43,4100.92,0.2375
44,4178.6704,0.24375
45,4244.24,0.25625
46,4311.736,0.2625
47,4379.1304,0.26875
48,4447.425,0.2875
49,4509.655,0.2875
50,4571.655,0.3625
51,4626.655,0.36875
52,4678.655,0.38125
53,4726.655,0.3875
54,4778.655,0.39375
55,4832.655,0.4
56,4884.655,0.4
57,4946.655,0.4
58,5006.655,0.40625
59,5064.655,0.4125
60,5123.655,0.41875
61,5182.655,0.5
62,5239.655,0.51875
63,5294.655,0.51875
64,5347.655,0.53125
65,5406.655,0.5375
66,5465.655,0.5375
67,5519.655,0.6125
68,5572.655,0.65
69,5620.655,0.65625
70,5670.655,0.65625
71,5712.655,0.66875
72,5754.655,0.66875
73,5794.655,0.725
74,5829.655,0.7625
75,5861.655,0.76875
76,5890.655,0.76875
77,5915.655,0.775
78,5939.655,0.775
79,5961.655,0.9125
80,5975.655,0.93125
