step,tx_cost,fulfill
1,156.61073,0.0
2,301.3991,0.0
3,439.98557,0.0
4,581.907,0.0
5,713.2366,0.0
6,841.1063,0.0
7,968.0451,0.0
8,1091.5149,0.0
9,1219.5126,0.0
10,1349.3612,0.0
11,1493.0062,0.0
12,1642.5751,0.0
13,1788.7961,0.0
14,1940.8419,0.00625
15,2089.0557,0.00625
16,2237.0244,0.0125
17,2378.6677,0.05625
18,2527.2373,0.08125
19,2677.9229,0.10625
20,2824.5527,0.11875
21,2973.765,0.11875
22,3114.1628,0.14375
23,3253.202,0.14375
24,3401.2588,0.14375
25,3552.2354,0.16875
26,3690.8274,0.28125
27,3805.8274,0.34375
28,3908.8274,0.36875
29,4004.8274,0.375
30,4096.827,0.39375
31,4167.4453,0.4
32,4230.485,0.4
33,4290.485,0.4
34,4352.485,0.4
35,4417.485,0.4
36,4483.485,0.4
37,4551.153,0.4
38,4616.5054,0.4
39,4680.5054,0.4
40,4742.5054,0.4
41,4802.5054,0.46875
42,4860.5684,0.475
43,4916.8647,0.5
44,4962.9473,0.5
45,5006.9473,0.5
46,5056.9473,0.5
47,5110.9473,0.5
48,5164.9546,0.5
49,5219.0527,0.5
50,5283.0527,0.55
51,5345.0527,0.5625
52,5406.0527,0.5625
53,5464.0527,0.56875
54,5522.0527,0.56875
55,5579.0527,0.58125
56,5630.0527,0.59375
57,5676.0527,0.59375
58,5723.0527,0.59375
59,5769.0527,0.59375
60,5814.0527,0.6
61,5854.0527,0.6
62,5893.0527,0.64375
63,5932.0527,0.65
64,5967.0527,0.65625
65,5999.0527,0.65625
66,6028.0527,0.65625
67,6056.5605,0.66875
68,6091.8447,0.675
69,6125.8447,0.675
70,6163.8447,0.675
71,6200.8447,0.68125
72,6237.8447,0.68125
73,6277.599,0.775
74,6308.912,0.88125
75,6334.912,0.88125
