step,tx_cost,fulfill
1,114.957886,0.0
2,234.61893,0.0
3,346.194,0.0
4,455.47046,0.0
5,554.33813,0.0
6,650.69855,0.0
7,757.3131,0.0
8,857.2933,0.0
9,962.395,0.0
10,1072.395,0.0
11,1178.395,0.0
12,1281.395,0.0
13,1386.036,0.0
14,1481.3357,0.0
15,1575.3357,0.0
16,1673.3357,0.0
17,1769.3357,0.0
18,1877.3357,0.0
19,1985.7217,0.0
20,2095.8276,0.0
21,2210.8276,0.0
22,2327.8276,0.0
23,2440.8276,0.0
24,2554.8276,0.0
25,2666.9368,0.0
26,2791.039,0.0
27,2927.1196,0.03333333333333333
28,3063.2002,0.041666666666666664
29,3195.3835,0.041666666666666664
30,3335.8179,0.058333333333333334
31,3476.5032,0.09166666666666666
32,3595.1191,0.1
33,3705.505,0.1
34,3816.8853,0.175
35,3927.241,0.19166666666666668
36,4034.5762,0.19166666666666668
37,4144.915,0.19166666666666668
38,4259.9795,0.2
39,4375.9795,0.2
40,4486.9795,0.2
41,4594.9795,0.2
42,4694.9795,0.2
43,4793.9795,0.2
44,4880.9795,0.2
45,4965.9976,0.2
46,5053.021,0.2
47,5138.0474,0.2
48,5233.11,0.2
49,5321.2554,0.2
50,5404.3564,0.21666666666666667
51,5485.361,0.21666666666666667
52,5561.361,0.21666666666666667
53,5641.361,0.21666666666666667
54,5726.361,0.21666666666666667
55,5818.387,0.24166666666666667
56,5905.387,0.25
57,6005.387,0.25
58,6105.387,0.25
59,6208.387,0.25
60,6305.394,0.25
61,6407.4893,0.25
62,6504.6436,0.2916666666666667
63,6601.835,0.3
64,6702.0405,0.3
65,6806.2417,0.3
66,6908.424,0.31666666666666665
67,7003.574,0.375
68,7099.6772,0.4083333333333333
69,7186.6978,0.6
70,7266.6978,0.6083333333333333
71,7346.6978,0.65
72,7421.6978,0.6583333333333333
73,7490.6978,0.675
74,7564.6978,0.6916666666666667
75,7628.6978,0.7083333333333334
76,7683.6978,0.725
77,7733.6978,0.725
78,7780.6978,0.725
79,7824.6978,0.7416666666666667
80,7862.6978,0.7833333333333333
81,7900.6978,0.7833333333333333
82,7936.6978,0.7833333333333333
83,7970.6978,0.7833333333333333
84,8009.6978,0.7833333333333333
85,8050.6978,0.7833333333333333
86,8091.6978,0.7833333333333333
87,8131.6978,0.7833333333333333
88,8170.6978,0.8
89,8209.697,0.8
