step,tx_cost,fulfill
1,56.02321,0.0
2,100.87823,0.0
3,137.93695,0.0
4,173.10611,0.0
5,207.8282,0.05
6,242.72676,0.075
7,292.2292,0.075
8,332.6637,0.0875
9,366.51398,0.0875
10,403.72098,0.1
11,443.47607,0.1
12,483.83475,0.1
13,536.2735,0.1375
14,583.09625,0.1625
15,617.82733,0.1625
16,648.75775,0.175
17,679.65424,0.175
18,713.4291,0.2
19,764.49255,0.2
20,809.8369,0.2125
21,844.7963,0.25
22,881.7365,0.3125
23,920.6175,0.325
24,958.8852,0.3875
25,1016.5469,0.425
26,1065.3108,0.45
27,1095.3011,0.5125
28,1120.1343,0.525
29,1142.9124,0.5375
30,1163.9766,0.5875
31,1206.0522,0.6125
32,1239.2761,0.625
33,1250.65,0.625
34,1257.9811,0.625
35,1264.426,0.625
36,1269.1079,0.625
37,1298.5084,0.6375
38,1319.6603,0.6375
39,1319.8385,0.6375
40,1319.8385,0.6375
41,1320.562,0.6375
42,1323.2533,0.6375
43,1349.7975,0.6375
44,1369.968,0.6375
45,1380.0009,0.6625
46,1392.176,0.6875
47,1406.0375,0.7
48,1421.5123,0.7
49,1458.0579,0.7
50,1486.7195,0.7
51,1506.6875,0.7
52,1529.2411,0.7
53,1552.1248,0.725
54,1576.397,0.725
55,1632.942,0.725
56,1679.3229,0.725
57,1702.3131,0.725
58,1724.6614,0.7375
59,1747.8986,0.7375
60,1771.9019,0.7375
61,1831.2909,0.75
62,1874.6078,0.75
63,1897.7769,0.75
64,1920.0144,0.75
65,1943.6194,0.75
66,1970.7345,0.75
67,2030.1926,0.75
68,2069.7522,0.7875
69,2095.1648,0.8375
70,2121.445,0.8375
