step,tx_cost,fulfill
1,0.0,0.0
2,616.5402,0.0
3,1069.4187,0.0
4,1276.9132,0.0
5,1698.8605,0.0
6,2262.9924,0.0
7,2714.6484,0.0
8,3330.8618,0.05
9,3739.5813,0.075
10,3965.9077,0.075
11,4437.303,0.1
12,5055.277,0.1
13,5589.596,0.1
14,6238.705,0.175
15,6749.002,0.175
16,7060.444,0.175
17,7592.1226,0.225
18,8239.934,0.225
19,8804.212,0.225
20,9453.749,0.275
21,9970.516,0.3
22,10322.736,0.3
23,10882.8545,0.325
24,11500.758,0.375
25,12083.744,0.425
26,12756.138,0.525
27,13327.875,0.55
28,13811.074,0.55
29,14403.378,0.575
30,15046.383,0.625
31,15675.0205,0.65
32,16340.386,0.65
33,16944.014,0.65
34,17491.822,0.7
35,18036.453,0.725
36,18639.244,0.725
37,19254.6,0.75
38,19871.953,0.75
39,20467.436,0.775
40,20949.775,0.8
41,21446.826,0.825
