step,tx_cost,fulfill
1,231.90862,0.0
2,468.81662,0.0
3,703.6643,0.0
4,939.8978,0.0
5,1170.8174,0.0
6,1406.5244,0.0
7,1645.4175,0.0
8,1895.0798,0.025
9,2145.8027,0.05
10,2391.5315,0.1
11,2647.5347,0.1
12,2911.427,0.1
13,3177.514,0.1
14,3439.8765,0.1
15,3692.0386,0.1
16,3940.239,0.1
17,4191.0776,0.1
18,4431.556,0.1
19,4672.5586,0.1
20,4907.7354,0.1
21,5152.458,0.1
22,5404.18,0.1
23,5663.0615,0.1
24,5942.9014,0.1
25,6215.0615,0.1
26,6493.931,0.1
27,6777.2046,0.1
28,7067.7256,0.125
29,7355.2075,0.175
30,7645.2095,0.175
31,7929.7793,0.2
32,8212.346,0.25
33,8501.109,0.3
34,8803.153,0.3
35,9100.472,0.3
36,9390.927,0.3
37,9680.177,0.35
38,9966.837,0.375
39,10248.969,0.4
40,10517.422,0.475
41,10781.974,0.475
42,11041.547,0.475
43,11310.437,0.5
44,11573.335,0.525
45,11847.829,0.525
46,12126.825,0.525
47,12408.178,0.55
48,12680.863,0.575
49,12963.351,0.6
50,13235.692,0.625
51,13514.895,0.625
52,13795.325,0.625
53,14078.488,0.65
54,14357.833,0.65
55,14642.684,0.7
56,14914.129,0.7
57,15186.209,0.7
58,15451.284,0.725
59,15704.853,0.725
60,15965.478,0.75
61,16241.0625,0.775
62,16516.65,0.775
63,16804.229,0.775
64,17095.809,0.8
65,17387.389,0.8
