step,tx_cost,fulfill
1,92.41451,0.0
2,176.13507,0.0
3,237.42052,0.0
4,295.0938,0.0
5,350.59528,0.0625
6,403.48044,0.1375
7,484.72217,0.1375
8,556.37476,0.1625
9,594.1869,0.175
10,629.09186,0.2
11,661.22375,0.2
12,691.1627,0.2
13,754.2951,0.2125
14,807.87225,0.2375
15,830.61224,0.2375
16,853.06433,0.2375
17,879.73065,0.25
18,909.1414,0.25
19,973.1283,0.2875
20,1025.2479,0.35
21,1052.908,0.3625
22,1080.0228,0.375
23,1108.5249,0.375
24,1137.6713,0.375
25,1188.5377,0.4375
26,1224.3732,0.45
27,1247.9279,0.45
28,1271.2096,0.45
29,1295.3218,0.45
30,1320.0049,0.45
31,1371.8988,0.45
32,1407.193,0.45
33,1425.3696,0.45
34,1443.2397,0.4625
35,1460.7191,0.475
36,1477.425,0.5125
37,1524.4075,0.5125
38,1558.0597,0.525
39,1568.096,0.525
40,1578.0901,0.525
41,1588.0583,0.525
42,1595.7821,0.5375
43,1652.5823,0.55
44,1693.371,0.6125
45,1704.1603,0.6125
46,1712.7903,0.6125
47,1720.3627,0.6375
48,1727.5226,0.6375
49,1778.3864,0.65
50,1817.5468,0.6625
51,1825.6284,0.6625
52,1835.901,0.6625
53,1848.9982,0.6625
54,1863.8372,0.675
55,1917.3955,0.6875
56,1965.4757,0.7
57,1982.9675,0.7
58,2001.7682,0.7125
59,2022.4813,0.7125
60,2045.124,0.7125
61,2105.294,0.7125
62,2157.0378,0.7125
63,2176.7095,0.7125
64,2196.6582,0.7125
65,2216.728,0.7125
66,2236.4375,0.725
67,2292.9902,0.725
68,2346.0386,0.75
69,2368.5066,0.7625
70,2393.5254,0.7875
71,2421.291,0.8125
72,2451.4912,0.825
