Iteration,Reward,Cost_Rate,Lambda,Tx_Cost,Comp_Time
0,17906.324,0.03571428571428571,1.0,885.04,14.467857142857143
1,17912.617,0.023333333333333338,1.0,868.2912,13.221666666666666
2,17913.998,0.018478260869565225,1.0,873.54034,12.791304347826086
3,17913.88,0.020312500000000008,1.0,867.17285,13.12421875
4,17913.389,0.02187500000000001,1.0,864.3348,13.444999999999999
5,17913.768,0.02343750000000001,1.0,852.51154,13.514583333333334
6,17914.262,0.02187500000000001,1.0,851.70154,13.362053571428573
7,17914.035,0.02109375000000001,1.0,852.17444,13.264062500000001
8,17914.39,0.020205479452054805,1.0,848.84344,13.431164383561642
9,17914.441,0.02000000000000001,1.0,849.1683,13.4571875
10,17914.451,0.019318181818181828,1.0,851.1566,13.435511363636364
11,17913.898,0.020052083333333345,1.0,853.23,13.518229166666666
12,17914.148,0.01925000000000001,1.0,853.37756,13.503
13,17914.494,0.01850000000000001,1.0,852.1394,13.50475
14,17914.516,0.01825000000000001,1.0,851.57794,13.588000000000001
15,17913.707,0.020250000000000004,1.0,852.0023,13.656999999999998
16,17914.262,0.01875000000000001,1.0,852.68164,13.622250000000001
17,17914.193,0.01875000000000001,1.0,855.3533,13.6205
18,17914.37,0.01750000000000001,1.0,860.8122,13.553000000000004
19,17915.059,0.017000000000000005,1.0,859.9347,13.571249999999997
20,17914.936,0.016750000000000004,1.0,864.90094,13.418750000000003
21,17915.367,0.016750000000000008,1.0,863.1189,13.29425
22,17915.727,0.016750000000000008,1.0,860.4363,13.349249999999998
23,17916.336,0.015500000000000007,1.0,861.019,13.161000000000001
24,17916.076,0.016000000000000004,1.0,862.57306,13.12575
25,17916.404,0.015500000000000009,1.0,862.0471,13.168750000000003
26,17916.475,0.015500000000000007,1.0,861.84076,13.001999999999999
27,17917.926,0.012750000000000008,1.0,858.3097,12.934500000000003
28,17917.734,0.01250000000000001,1.0,861.0909,12.8265
29,17917.451,0.013250000000000007,1.0,859.6532,12.811249999999998
30,17917.914,0.01200000000000001,1.0,857.41406,12.828999999999999
31,17917.13,0.01275000000000001,1.0,860.4812,13.031500000000003
32,17917.352,0.012750000000000008,1.0,858.1511,13.0635
33,17917.06,0.012750000000000008,1.0,860.87646,13.094750000000001
34,17917.28,0.01100000000000001,1.0,865.75665,13.13025
