Tx_Cost,Fulfill,Comp_Time,thes
12359.269649621212,0.8,146.15,15.0
14351.549275716145,0.8,68.1375,15.0
17947.10693359375,0.8,67.4875,20.0
19190.544976128476,0.8,67.1125,25.0
26334.403483072914,0.8,67.5125,30.0
