Tx_Cost,Fulfill,Comp_Time,thes
41126.01762820514,0.8,73.6625,15.0
53457.30235042735,0.8,73.4875,20.0
53685.794406467016,0.8,73.475,25.0
68193.91826923077,0.8,72.7125,30.0
