User_Num,Tx_Cost,Fulfill,Comp_Time,erasure
10,13.3655,10,1380,0.1
10,564.5458,300,2000,0.1
10,639.9802,320,2000,0.1
10,762.5611,0.8883,2000,0.1
40,1476.086,0.6567,2000,0.1
80,939.5937,0.8458,2000,0.1
120,1836.0923,0.8744,2000,0.1
40,2015.201,0.9254,3000,0.1
