Algorithm,User 80 Tx Cost,User 80 Ratio (vs PACE),User 120 Tx Cost,User 120 Ratio (vs PACE),User 160 Tx Cost,User 160 Ratio (vs PACE)
No-RLNC,"17,283.11",4.45x,"30,989.80",10.21x,"32,900.50",7.89x
No-ISL,"12,508.86",3.22x,"12,880.33",4.24x,"17,182.38",4.12x
PACE,"3,885.85",1.00x,"3,035.89",1.00x,"4,168.35",1.00x
Greedy,"46,117.71",11.87x,"57,021.15",18.78x,"114,901.54",27.57x
Myopic,"27,171.41",6.99x,"28,200.86",9.29x,"27,271.38",6.54x
ERNC,"47,818.29",12.31x,"52,353.86",17.24x,"93,548.04",22.44x
Static Redundancy,"127,405.37",32.79x,"253,609.55",83.54x,"291,502.64",69.93x
