omega_t,omega_c,Comp_Time,Tx_Cost,Fulfill
0.6,0.4,33.4,14124.18359375,0.8500000000000001
0.6,0.4,36.9,9449.0,0.8
0.6,0.4,94.4,61456.2109375,0.5
