step,tx_cost,fulfill
1,272.43152,0.0
2,542.7451,0.0
3,795.5355,0.0
4,1042.6825,0.025
5,1290.8392,0.05
6,1537.0507,0.075
7,1807.6532,0.1
8,2087.5994,0.175
9,2343.578,0.2
10,2590.768,0.225
11,2853.4307,0.275
12,3118.5999,0.275
13,3382.4968,0.375
14,3640.307,0.425
15,3882.933,0.425
16,4130.5737,0.425
17,4370.3594,0.425
18,4606.623,0.475
19,4856.684,0.475
20,5114.7407,0.55
21,5368.2524,0.6
22,5617.9683,0.675
23,5877.534,0.7
24,6133.388,0.7
25,6404.286,0.75
26,6682.885,0.75
27,6944.3423,0.75
28,7203.5615,0.75
29,7470.5635,0.8
30,7734.8633,0.8
