step,tx_cost,fulfill
1,0.0,0.0
2,296.9269,0.0
3,490.42172,0.0
4,650.42114,0.0
5,832.5211,0.0
6,1104.2205,0.1
7,1324.5994,0.1
8,1607.4481,0.2
9,1802.2535,0.2
10,1976.0593,0.2
11,2193.1682,0.3
12,2507.952,0.3
13,2772.479,0.3
14,3097.6672,0.3
15,3342.332,0.3
16,3584.4968,0.3
17,3839.132,0.3
18,4129.803,0.4
19,4393.6777,0.4
20,4659.802,0.6
21,4882.304,0.6
22,5097.81,0.6
23,5352.3164,0.6
24,5616.7295,0.6
25,5856.114,0.7
26,6132.788,0.7
27,6370.281,0.7
28,6613.7397,0.7
29,6861.4077,0.8
30,7114.9424,0.8
