step,tx_cost,fulfill
1,105.77374,0.0
2,195.00073,0.0
3,242.10796,0.0
4,292.75488,0.0
5,343.60217,0.0
6,390.86948,0.0
7,487.41013,0.05
8,565.0325,0.075
9,598.4597,0.075
10,630.2851,0.0875
11,662.5347,0.1
12,693.9578,0.10625
13,749.6778,0.19375
14,796.07056,0.2375
15,828.3623,0.26875
16,856.9925,0.29375
17,881.8151,0.31875
18,906.0002,0.33125
19,948.8278,0.3875
20,989.58875,0.41875
21,1015.333,0.41875
22,1040.283,0.43125
23,1067.1538,0.44375
24,1093.6753,0.45625
25,1139.6534,0.475
26,1184.8942,0.5
27,1213.0879,0.50625
28,1241.5167,0.5125
29,1268.5167,0.53125
30,1295.5167,0.58125
31,1341.146,0.60625
32,1377.8103,0.65625
33,1398.5378,0.6875
34,1419.9385,0.7
35,1441.2673,0.7125
36,1462.5394,0.7375
37,1500.2891,0.7625
38,1528.5671,0.7625
39,1539.4242,0.7625
40,1548.9868,0.7625
41,1558.1643,0.7625
42,1570.2714,0.7625
43,1604.4845,0.76875
44,1635.0334,0.78125
45,1648.7537,0.78125
46,1664.5833,0.78125
47,1682.008,0.78125
48,1700.7405,0.7875
49,1747.1342,0.7875
50,1788.042,0.7875
51,1808.3486,0.7875
52,1828.4652,0.7875
53,1847.1315,0.7875
54,1865.5654,0.7875
55,1910.765,0.7875
56,1950.4989,0.79375
57,1967.7412,0.8125
58,1986.7059,0.825
