step,tx_cost,fulfill
0,0.1066,0.0
1,4.1787,0.0
2,24.3353,0.0003
3,24.4171,0.0003
4,49.4952,0.0006
5,74.5866,0.0009
6,109.6858,0.0014
7,139.7698,0.0125
8,154.8757,0.0128
9,154.9655,0.0128
10,180.0559,0.0132
11,205.1534,0.0135
12,205.2478,0.0135
13,215.3366,0.023
14,235.4178,0.0232
15,240.5934,0.0243
16,285.6642,0.0265
17,285.7396,0.0265
18,285.8171,0.0265
19,285.8964,0.0265
20,310.9814,0.0267
21,311.0624,0.0267
22,311.1352,0.0267
23,326.0832,0.0269
24,326.171,0.0269
25,338.4939,0.0356
26,363.5853,0.0376
27,363.6788,0.0376
28,363.7633,0.0376
29,378.8438,0.0378
30,398.92,0.046
31,398.9911,0.046
32,444.0667,0.0465
33,456.4329,0.0467
34,471.517,0.0498
35,486.5943,0.0519
36,486.6761,0.0519
37,486.7583,0.0519
38,486.8458,0.0519
39,491.9336,0.0519
40,492.0154,0.0519
41,512.1049,0.0523
42,527.1967,0.0547
43,536.6287,0.0566
44,576.7192,0.0668
45,586.8061,0.0677
46,586.8878,0.0677
47,586.9692,0.0677
48,597.0562,0.075
49,607.1476,0.0783
50,607.2381,0.0783
51,622.3232,0.0786
52,622.4117,0.0786
53,637.5001,0.0852
54,667.8843,0.0946
55,672.9775,0.0956
56,673.0678,0.0956
57,673.1539,0.0956
58,713.2429,0.096
59,723.3333,0.0962
60,746.6224,0.0978
61,750.4597,0.0986
62,788.4146,0.1076
63,803.5052,0.1092
64,818.6032,0.1092
65,818.7039,0.1092
66,818.7973,0.1092
67,848.8823,0.1115
68,873.9671,0.1118
69,874.0587,0.1118
70,884.155,0.112
71,884.2527,0.112
72,899.3411,0.1228
73,924.4293,0.128
74,934.525,0.1333
75,949.622,0.1388
76,949.7163,0.1388
77,969.8066,0.139
78,989.8999,0.1445
79,994.9916,0.1456
80,995.083,0.1456
81,1034.7699,0.1649
82,1054.8658,0.1827
83,1059.9746,0.1827
84,1070.0849,0.1834
85,1070.1948,0.1834
86,1110.3196,0.1838
87,1140.4411,0.1842
88,1170.5696,0.1846
89,1175.6244,0.1846
