step,tx_cost,fulfill
1,151.98492,0.0
2,299.07733,0.0
3,371.95352,0.0
4,447.676,0.0
5,524.6764,0.0625
6,605.4239,0.125
7,755.9868,0.2
8,890.1563,0.3
9,958.0744,0.325
10,1024.6813,0.3625
11,1089.5879,0.4125
12,1155.3414,0.425
13,1265.1597,0.45
14,1353.5337,0.4625
15,1412.1459,0.4625
16,1465.4915,0.475
17,1524.2369,0.475
18,1582.2163,0.475
19,1673.8043,0.5
20,1757.2013,0.5375
21,1808.6083,0.5375
22,1860.9408,0.55
23,1915.1486,0.575
24,1971.8615,0.6125
25,2059.0757,0.6625
26,2135.0696,0.75
27,2188.4543,0.8
28,2237.159,0.85
