step,tx_cost,fulfill
1,92.0,0.0
2,184.0,0.0
3,279.0,0.0
4,370.0,0.0
5,469.0,0.0
6,583.0,0.0
7,690.0,0.0
8,799.0,0.0
9,918.0,0.0
10,1040.0,0.0
11,1168.0,0.1
12,1294.0,0.2
13,1419.0,0.2
14,1541.0,0.2
15,1667.0,0.2
16,1788.0,0.2
17,1903.0,0.2
18,2018.0,0.2
19,2141.0,0.2
20,2272.0,0.2
21,2403.0,0.2
22,2531.0,0.2
23,2665.0,0.2
24,2793.0,0.3
25,2921.0,0.3
26,3056.0,0.3
27,3186.0,0.3
28,3306.0,0.3
29,3430.0,0.3
30,3548.0,0.3
31,3674.0,0.5
32,3799.0,0.5
33,3921.0,0.5
34,4054.0,0.5
35,4184.0,0.5
36,4310.0,0.5
37,4440.0,0.6
38,4572.0,0.6
39,4717.0,0.6
40,4857.0,0.7
41,4998.0,0.7
42,5135.0,0.7
43,5265.0,0.7
44,5406.0,0.7
45,5547.0,0.7
46,5687.0,0.7
47,5830.0,0.7
48,5971.0,0.7
49,6105.0,0.7
50,6231.0,0.7
51,6358.0,0.7
52,6495.0,0.7
53,6627.0,0.8
54,6757.0,0.8
