step,tx_cost,fulfill
1,0.0,0.0
2,1760.5944,0.0
3,3322.4934,0.0
4,3595.9197,0.0
5,5152.248,0.0
6,6811.0376,0.0125
7,8379.251,0.08125
8,10025.321,0.13125
9,11328.487,0.15
10,11725.7295,0.15625
11,13170.737,0.175
12,14677.728,0.18125
13,16113.029,0.25625
14,17661.248,0.4
15,18932.63,0.43125
16,19647.514,0.45
17,21081.236,0.50625
18,22706.488,0.525
19,24135.127,0.55625
20,25617.201,0.575
21,26946.45,0.58125
22,28065.832,0.59375
23,29559.654,0.6
24,31173.266,0.61875
25,32679.404,0.7
26,34140.46,0.78125
27,35543.1,0.78125
28,36900.93,0.79375
29,38402.145,0.8125
30,39943.324,0.83125
