step,tx_cost,fulfill
1,650.0,0.0
2,1304.0,0.0
3,1953.0,0.0
4,2606.0,0.0
5,3252.0,0.0
6,3877.0,0.0
7,4518.0,0.0
8,5144.0,0.00625
9,5778.0,0.025
10,6390.0,0.05
11,7002.0,0.0625
12,7611.0,0.08125
13,8229.0,0.08125
14,8865.0,0.11875
15,9514.0,0.11875
16,10135.0,0.11875
17,10813.0,0.13125
18,11523.0,0.15
19,12231.0,0.16875
20,12957.0,0.19375
21,13659.0,0.23125
22,14386.0,0.2375
23,15116.0,0.2625
24,15837.0,0.275
25,16546.0,0.30625
26,17237.0,0.33125
27,17906.0,0.33125
28,18562.0,0.3375
29,19240.0,0.35625
30,19936.0,0.3625
31,20630.0,0.4
32,21343.0,0.43125
33,22040.0,0.43125
34,22689.0,0.45625
35,23332.0,0.45625
36,23979.0,0.475
37,24616.0,0.5
38,25273.0,0.53125
39,25934.0,0.55625
40,26589.0,0.5625
41,27237.0,0.5875
42,27914.0,0.6
43,28651.0,0.65625
44,29405.0,0.725
45,30136.0,0.73125
46,30853.0,0.73125
47,31566.0,0.7375
48,32315.0,0.74375
49,33068.0,0.7875
50,33820.0,0.81875
51,34582.0,0.825
