omega_t,omega_c,Comp_Time,Tx_Cost,Fulfill
0.6,0.4,29.5,4420.7705078125,0.8500000000000001
0.6,0.4,44.45,5233.0,0.8
0.6,0.4,139.10000000000002,32541.75,0.4
